Country,Happiness_Score,Happiness_Rank
Denmark,7.526,1
Switzerland,7.5089999999999995,2
Iceland,7.501,3
Norway,7.497999999999999,4
Finland,7.412999999999999,5
Canada,7.404,6
Netherlands,7.3389999999999995,7
New Zealand,7.334,8
Australia,7.313,9
Sweden,7.291,10
Israel,7.267,11
Austria,7.119,12
United States,7.104,13
Costa Rica,7.087000000000001,14
Puerto Rico,7.039,15
Germany,6.994,16
Brazil,6.952000000000001,17
Belgium,6.928999999999999,18
Ireland,6.907,19
Luxembourg,6.871,20
Mexico,6.778,21
Singapore,6.739,22
United Kingdom,6.725,23
Chile,6.705,24
Panama,6.7010000000000005,25
Argentina,6.65,26
Czech Republic,6.596,27
United Arab Emirates,6.5729999999999995,28
Uruguay,6.545,29
Malta,6.4879999999999995,30
Colombia,6.481,31
France,6.478,32
Thailand,6.474,33
Saudi Arabia,6.379,34
Taiwan,6.379,34
Qatar,6.375,36
Spain,6.361000000000001,37
Algeria,6.355,38
Guatemala,6.324,39
Suriname,6.269,40
Kuwait,6.239,41
Bahrain,6.218,42
Trinidad and Tobago,6.167999999999999,43
Venezuela,6.084,44
Slovakia,6.077999999999999,45
El Salvador,6.068,46
Malaysia,6.005,47
Nicaragua,5.992000000000001,48
Uzbekistan,5.987,49
Italy,5.977,50
Ecuador,5.976,51
Belize,5.956,52
Japan,5.921,53
Kazakhstan,5.919,54
Moldova,5.897,55
Russia,5.856,56
Poland,5.835,57
South Korea,5.835,57
Bolivia,5.822,59
Lithuania,5.813,60
Belarus,5.8020000000000005,61
North Cyprus,5.771,62
Slovenia,5.768,63
Peru,5.742999999999999,64
Turkmenistan,5.6579999999999995,65
Mauritius,5.648,66
Libya,5.615,67
Latvia,5.56,68
Cyprus,5.546,69
Paraguay,5.537999999999999,70
Romania,5.528,71
Estonia,5.517,72
Jamaica,5.51,73
Croatia,5.4879999999999995,74
Hong Kong,5.457999999999999,75
Somalia,5.44,76
Kosovo,5.401,77
Turkey,5.388999999999999,78
Indonesia,5.314,79
Jordan,5.303,80
Azerbaijan,5.291,81
Philippines,5.279,82
China,5.245,83
Bhutan,5.196000000000001,84
Kyrgyzstan,5.185,85
Serbia,5.1770000000000005,86
Bosnia and Herzegovina,5.162999999999999,87
Montenegro,5.1610000000000005,88
Dominican Republic,5.155,89
Morocco,5.151,90
Hungary,5.145,91
Pakistan,5.132000000000001,92
Lebanon,5.129,93
Portugal,5.122999999999999,94
Macedonia,5.121,95
Vietnam,5.061,96
Somaliland Region,5.0569999999999995,97
Tunisia,5.045,98
Greece,5.033,99
Tajikistan,4.996,100
Mongolia,4.907,101
Laos,4.876,102
Nigeria,4.875,103
Honduras,4.871,104
Iran,4.813,105
Zambia,4.795,106
Nepal,4.793,107
Palestinian Territories,4.754,108
Albania,4.655,109
Bangladesh,4.643,110
Sierra Leone,4.635,111
Iraq,4.575,112
Namibia,4.574,113
Cameroon,4.513,114
Ethiopia,4.508,115
South Africa,4.459,116
Sri Lanka,4.415,117
India,4.404,118
Myanmar,4.395,119
Egypt,4.362,120
Armenia,4.36,121
Kenya,4.356,122
Ukraine,4.324,123
Ghana,4.276,124
Congo (Kinshasa),4.272,125
Georgia,4.252,126
Congo (Brazzaville),4.236000000000001,127
Senegal,4.218999999999999,128
Bulgaria,4.217,129
Mauritania,4.2010000000000005,130
Zimbabwe,4.1930000000000005,131
Malawi,4.156000000000001,132
Sudan,4.138999999999999,133
Gabon,4.121,134
Mali,4.073,135
Haiti,4.0280000000000005,136
Botswana,3.9739999999999998,137
Comoros,3.9560000000000004,138
Ivory Coast,3.9160000000000004,139
Cambodia,3.907,140
Angola,3.866,141
Niger,3.8560000000000003,142
South Sudan,3.832,143
Chad,3.763,144
Burkina Faso,3.739,145
Uganda,3.739,145
Yemen,3.7239999999999998,147
Madagascar,3.695,148
Tanzania,3.6660000000000004,149
Liberia,3.622,150
Guinea,3.6069999999999998,151
Rwanda,3.515,152
Benin,3.484,153
Afghanistan,3.36,154
Togo,3.303,155
Syria,3.069,156
Burundi,2.905,157
