Country,Health
Finland,0.8740000000000001
Norway,0.861
Denmark,0.868
Iceland,0.914
Switzerland,0.927
Netherlands,0.878
Canada,0.8959999999999999
New Zealand,0.8759999999999999
Sweden,0.9129999999999999
Australia,0.91
United Kingdom,0.888
Austria,0.8909999999999999
Costa Rica,0.8170000000000001
Ireland,0.8759999999999999
Germany,0.861
Belgium,0.894
Luxembourg,0.8959999999999999
United States,0.8190000000000001
Israel,0.883
United Arab Emirates,0.67
Czech Republic,0.8540000000000001
Malta,0.884
France,0.9079999999999999
Mexico,0.7609999999999999
Chile,0.8079999999999999
Taiwan,0.857
Panama,0.759
Brazil,0.675
Argentina,0.7440000000000001
Guatemala,0.608
Uruguay,0.7709999999999999
Qatar,0.748
Saudi Arabia,0.633
Singapore,1.008
Malaysia,0.669
Spain,0.965
Colombia,0.635
Trinidad & Tobago,0.564
Slovakia,0.7759999999999999
El Salvador,0.639
Nicaragua,0.7
Poland,0.7809999999999999
Bahrain,0.698
Uzbekistan,0.605
Kuwait,0.675
Thailand,0.7070000000000001
Italy,0.946
Ecuador,0.736
Belize,0.474
Lithuania,0.716
Slovenia,0.856
Romania,0.726
Latvia,0.6709999999999999
Japan,0.988
Mauritius,0.684
Jamaica,0.693
South Korea,0.955
Northern Cyprus,0.909
Russia,0.599
Kazakhstan,0.631
Cyprus,0.909
Bolivia,0.508
Estonia,0.737
Paraguay,0.615
Peru,0.674
Kosovo,0.578
Moldova,0.62
Turkmenistan,0.517
Hungary,0.732
Libya,0.5529999999999999
Philippines,0.513
Honduras,0.622
Belarus,0.7
Turkey,0.6859999999999999
Pakistan,0.424
Hong Kong,1.03
Portugal,0.884
Serbia,0.685
Greece,0.879
Lebanon,0.785
Montenegro,0.7290000000000001
Croatia,0.737
Dominican Republic,0.614
Algeria,0.687
Morocco,0.669
China,0.799
Azerbaijan,0.603
Tajikistan,0.598
Macedonia,0.691
Jordan,0.645
Nigeria,0.048
Kyrgyzstan,0.594
Bosnia and Herzegovina,0.758
Mongolia,0.575
Vietnam,0.7020000000000001
Indonesia,0.522
Bhutan,0.527
Somalia,0.115
Cameroon,0.182
Bulgaria,0.7120000000000001
Nepal,0.539
Venezuela,0.657
Gabon,0.40399999999999997
Palestinian Territories,0.602
South Africa,0.33
Iran,0.691
Ivory Coast,0.08
Ghana,0.337
Senegal,0.433
Laos,0.441
Tunisia,0.69
Albania,0.79
Sierra Leone,0.0
Congo (Brazzaville),0.34299999999999997
Bangladesh,0.579
Sri Lanka,0.672
Iraq,0.536
Mali,0.152
Namibia,0.365
Cambodia,0.457
Burkina Faso,0.254
Egypt,0.5529999999999999
Mozambique,0.17300000000000001
Kenya,0.45399999999999996
Zambia,0.295
Mauritania,0.292
Ethiopia,0.391
Georgia,0.643
Armenia,0.6659999999999999
Myanmar,0.429
Chad,0.053
Congo (Kinshasa),0.204
India,0.485
Niger,0.221
Uganda,0.237
Benin,0.24
Sudan,0.312
Ukraine,0.609
Togo,0.253
Guinea,0.21100000000000002
Lesotho,0.079
Angola,0.26899999999999996
Madagascar,0.402
Zimbabwe,0.248
Afghanistan,0.255
Botswana,0.41700000000000004
Malawi,0.306
Haiti,0.289
Liberia,0.267
Syria,0.539
Rwanda,0.4
Yemen,0.34299999999999997
Tanzania,0.381
South Sudan,0.177
Central African Republic,0.01
Burundi,0.145
