Country,Dystopia_Residual
Denmark,2.73939
Switzerland,2.69463
Iceland,2.83137
Norway,2.66465
Finland,2.82596
Canada,2.70485
Netherlands,2.70749
New Zealand,2.47553
Australia,2.5465
Sweden,2.54734
Israel,3.31029
Austria,2.6934299999999998
United States,2.72782
Costa Rica,3.3516800000000004
Puerto Rico,3.0076
Germany,2.5093099999999997
Brazil,3.5073300000000005
Belgium,2.61355
Ireland,2.15988
Luxembourg,2.11055
Mexico,3.5590599999999997
Singapore,1.99375
United Kingdom,2.1499900000000003
Chile,2.95505
Panama,3.00559
Argentina,3.12985
Czech Republic,2.96211
United Arab Emirates,2.21507
Uruguay,2.67139
Malta,1.99032
Colombia,3.1747099999999997
France,2.4744
Thailand,2.5796
Saudi Arabia,2.61482
Taiwan,2.61523
Qatar,1.5822399999999999
Spain,2.39663
Algeria,3.40904
Guatemala,3.19863
Suriname,3.06852
Kuwait,2.28085
Bahrain,2.27405
Trinidad and Tobago,2.5139400000000003
Venezuela,2.9746799999999998
Slovakia,2.61065
El Salvador,3.22134
Malaysia,2.35384
Nicaragua,2.82428
Uzbekistan,2.34638
Italy,2.34918
Ecuador,2.77366
Belize,3.08039
Japan,1.8058400000000001
Kazakhstan,2.49325
Moldova,3.38007
Russia,2.59115
Poland,2.20035
South Korea,2.35015
Bolivia,2.91635
Lithuania,2.60525
Belarus,2.3858200000000003
North Cyprus,1.9344700000000001
Slovenia,1.79522
Peru,2.73117
Turkmenistan,2.21489
Mauritius,2.20223
Libya,2.39374
Latvia,2.20859
Cyprus,2.04497
Paraguay,2.16091
Romania,2.4518400000000002
Estonia,1.81985
Jamaica,2.35682
Croatia,2.52462
Hong Kong,0.92614
Somalia,3.8377199999999996
Kosovo,2.80998
Turkey,2.29074
Indonesia,2.03171
Jordan,2.20142
Azerbaijan,2.2735
Philippines,2.23484
China,2.17087
Bhutan,1.82916
Kyrgyzstan,2.28136
Serbia,2.2753900000000002
Bosnia and Herzegovina,2.48406
Montenegro,2.2553099999999997
Dominican Republic,1.6962599999999999
Morocco,2.9489099999999997
Hungary,1.9547299999999999
Pakistan,3.18286
Lebanon,2.0733900000000003
Portugal,1.53015
Macedonia,2.08947
Vietnam,1.9418
Somaliland Region,2.43801
Tunisia,2.68413
Greece,2.12944
Tajikistan,2.39106
Mongolia,1.53586
Laos,2.08637
Nigeria,2.8858599999999996
Honduras,2.2955099999999997
Iran,1.99817
Zambia,2.5899099999999997
Nepal,2.32694
Palestinian Territories,2.40364
Albania,1.9281599999999999
Bangladesh,2.6090400000000002
Sierra Leone,3.01402
Iraq,1.81657
Namibia,1.92198
Cameroon,2.5198
Ethiopia,2.65614
South Africa,1.6422700000000001
Sri Lanka,0.91681
India,2.18032
Myanmar,1.50655
Egypt,1.96895
Armenia,1.9786400000000002
Kenya,1.88326
Ukraine,1.50066
Ghana,2.2002
Congo (Kinshasa),2.7492400000000004
Georgia,1.87031
Congo (Brazzaville),2.10681
Senegal,1.9786099999999998
Bulgaria,1.15377
Mauritania,1.9263
Zimbabwe,2.4427
Malawi,2.82859
Sudan,2.10995
Gabon,1.4533200000000002
Mali,2.1108700000000002
Haiti,2.3711599999999997
Botswana,0.96741
Comoros,2.25632
Ivory Coast,1.97478
Cambodia,1.3157299999999998
Angola,2.09459
Niger,2.09469
South Sudan,2.50929
Chad,2.3063700000000003
Burkina Faso,1.8731900000000001
Uganda,1.51416
Yemen,1.97295
Madagascar,2.15075
Tanzania,1.3776899999999999
Liberia,2.23284
Guinea,2.15604
Rwanda,0.96819
Benin,2.10812
Afghanistan,2.14558
Togo,2.1354
Syria,0.81789
Burundi,2.1040400000000004
