Country,Family
Finland,1.5919999999999999
Norway,1.5819999999999999
Denmark,1.59
Iceland,1.6440000000000001
Switzerland,1.5490000000000002
Netherlands,1.4880000000000002
Canada,1.5319999999999998
New Zealand,1.601
Sweden,1.501
Australia,1.5730000000000002
United Kingdom,1.433
Austria,1.504
Costa Rica,1.459
Ireland,1.5830000000000002
Germany,1.474
Belgium,1.483
Luxembourg,1.52
United States,1.4709999999999999
Israel,1.5590000000000002
United Arab Emirates,0.7759999999999999
Czech Republic,1.489
Malta,1.525
France,1.466
Mexico,1.252
Chile,1.331
Taiwan,1.436
Panama,1.4380000000000002
Brazil,1.474
Argentina,1.4680000000000002
Guatemala,1.268
Uruguay,1.459
Qatar,1.3030000000000002
Saudi Arabia,1.331
Singapore,1.4509999999999998
Malaysia,1.258
Spain,1.538
Colombia,1.439
Trinidad & Tobago,1.492
Slovakia,1.537
El Salvador,1.2309999999999999
Nicaragua,1.319
Poland,1.4480000000000002
Bahrain,1.3659999999999999
Uzbekistan,1.584
Kuwait,1.301
Thailand,1.4169999999999998
Italy,1.501
Ecuador,1.33
Belize,1.101
Lithuania,1.527
Slovenia,1.506
Romania,1.219
Latvia,1.454
Japan,1.462
Mauritius,1.3869999999999998
Jamaica,1.493
South Korea,1.204
Northern Cyprus,1.2109999999999999
Russia,1.479
Kazakhstan,1.516
Cyprus,1.1909999999999998
Bolivia,1.2229999999999999
Estonia,1.5319999999999998
Paraguay,1.5219999999999998
Peru,1.249
Kosovo,1.23
Moldova,1.301
Turkmenistan,1.5330000000000001
Hungary,1.401
Libya,1.35
Philippines,1.3119999999999998
Honduras,1.205
Belarus,1.4980000000000002
Turkey,1.38
Pakistan,0.81
Hong Kong,1.29
Portugal,1.429
Serbia,1.369
Greece,1.202
Lebanon,1.179
Montenegro,1.2790000000000001
Croatia,1.161
Dominican Republic,1.4409999999999998
Algeria,1.1540000000000001
Morocco,0.797
China,1.1420000000000001
Azerbaijan,1.161
Tajikistan,1.166
Macedonia,1.239
Jordan,1.265
Nigeria,1.172
Kyrgyzstan,1.416
Bosnia and Herzegovina,1.078
Mongolia,1.517
Vietnam,1.365
Indonesia,1.215
Bhutan,1.335
Somalia,0.7120000000000001
Cameroon,0.8909999999999999
Bulgaria,1.515
Nepal,1.228
Venezuela,1.469
Gabon,1.1640000000000001
Palestinian Territories,1.217
South Africa,1.41
Iran,0.7709999999999999
Ivory Coast,0.872
Ghana,0.8959999999999999
Senegal,1.117
Laos,1.034
Tunisia,0.9059999999999999
Albania,0.8170000000000001
Sierra Leone,0.813
Congo (Brazzaville),0.8109999999999999
Bangladesh,0.85
Sri Lanka,1.314
Iraq,0.971
Mali,1.2329999999999999
Namibia,1.281
Cambodia,1.088
Burkina Faso,1.097
Egypt,1.025
Mozambique,0.902
Kenya,1.048
Zambia,1.047
Mauritania,1.245
Ethiopia,0.95
Georgia,0.5920000000000001
Armenia,0.99
Myanmar,1.1740000000000002
Chad,0.907
Congo (Kinshasa),1.136
India,0.747
Niger,0.867
Uganda,1.09
Benin,0.37200000000000005
Sudan,1.24
Ukraine,1.413
Togo,0.474
Guinea,0.792
Lesotho,1.215
Angola,1.125
Madagascar,0.9079999999999999
Zimbabwe,1.094
Afghanistan,0.537
Botswana,1.1740000000000002
Malawi,0.541
Haiti,0.7140000000000001
Liberia,0.858
Syria,0.382
Rwanda,0.8959999999999999
Yemen,1.073
Tanzania,0.991
South Sudan,0.608
Central African Republic,0.0
Burundi,0.627
