Country,Dystopia_Residual
Norway,2.27702665328979
Denmark,2.31370735168457
Iceland,2.32271528244019
Switzerland,2.2767162322998
Finland,2.4301815032958998
Netherlands,2.29480409622192
Canada,2.18726444244385
New Zealand,2.0464563369751
Sweden,2.09753799438477
Australia,2.06521081924438
Israel,2.80175733566284
Costa Rica,2.89863920211792
Austria,2.1385064125061004
United States,2.2181134223937997
Ireland,1.77386903762817
Germany,2.01576995849609
Belgium,2.12421035766602
Luxembourg,1.61951208114624
United Kingdom,1.7041435241699199
Chile,2.5095858573913596
United Arab Emirates,1.734703540802
Brazil,2.7692670822143595
Czech Republic,2.45186185836792
Argentina,2.61400532722473
Mexico,2.8371548652648904
Singapore,1.2163619995117199
Malta,1.55686283111572
Uruguay,2.17240953445435
Guatemala,2.89389109611511
Panama,2.30719995498657
France,2.00595474243164
Thailand,2.03950834274292
Taiwan Province of China,2.1266074180603
Spain,1.92775774002075
Qatar,1.1454644203186002
Colombia,2.6160681247711204
Saudi Arabia,2.0654296875
Trinidad and Tobago,2.0532474517822297
Kuwait,1.64042520523071
Slovakia,2.09777665138245
Bahrain,1.65614938735962
Malaysia,2.00444889068604
Nicaragua,2.51393055915833
Ecuador,2.29035258293152
El Salvador,2.7145938873291002
Poland,1.7977228164672898
Uzbekistan,1.8169136047363301
Italy,1.81331205368042
Russia,2.20560741424561
Belize,2.63195562362671
Japan,1.36322355270386
Lithuania,2.22844052314758
Algeria,2.5676038265228303
Latvia,1.9936552047729499
South Korea,1.8803780078887902
Moldova,2.80780839920044
Romania,2.17683148384094
Bolivia,2.4432790279388397
Turkmenistan,1.83290982246399
Kazakhstan,1.7848925590515101
North Cyprus,1.5491576194763201
Slovenia,1.31331729888916
Peru,2.2072694301605202
Mauritius,1.6975839138031
Cyprus,1.62124919891357
Estonia,1.35750865936279
Belarus,1.72323298454285
Libya,1.8350112438201898
Turkey,1.87927794456482
Paraguay,1.6853334903716999
"Hong Kong S.A.R., China",0.554633140563965
Philippines,1.9726047515869098
Serbia,1.94708442687988
Jordan,1.79117655754089
Hungary,1.7164592742919902
Jamaica,1.61232566833496
Croatia,1.85449242591858
Kosovo,2.0105407238006596
China,1.76493859291077
Pakistan,2.7924892902374303
Indonesia,1.42947697639465
Venezuela,1.78946375846863
Montenegro,1.72919154167175
Morocco,2.45618939399719
Azerbaijan,1.7624816894531203
Dominican Republic,1.3194651603698702
Greece,1.74922156333923
Lebanon,1.69507384300232
Portugal,1.10768270492554
Bosnia and Herzegovina,1.89217257499695
Honduras,2.0658111572265603
Macedonia,1.6174693107605
Somalia,3.11748456954956
Vietnam,1.46231865882874
Nigeria,2.36539053916931
Tajikistan,1.8490493297576898
Bhutan,1.14018440246582
Kyrgyzstan,1.5367231369018601
Nepal,1.8912410736084
Mongolia,1.1112923622131299
South Africa,1.51090860366821
Tunisia,1.8902511596679699
Palestinian Territories,1.8788902759552
Egypt,1.70216107368469
Bulgaria,0.996139287948608
Sierra Leone,2.66845989227295
Cameroon,2.3336455821991
Iran,1.49873495101929
Albania,1.49044156074524
Bangladesh,1.9787361621856698
Namibia,1.4818902015686002
Kenya,1.6519021987915001
Mozambique,2.3556509017944305
Myanmar,1.11529040336609
Senegal,1.78964614868164
Zambia,1.82670545578003
Iraq,1.31890726089478
Gabon,1.3229162693023702
Ethiopia,2.01574373245239
Sri Lanka,0.41938924789428705
Armenia,1.5214991569518999
India,1.5191171169281
Mauritania,1.65163731575012
Congo (Brazzaville),1.7241356372833299
Georgia,1.50013780593872
Congo (Kinshasa),2.22495865821838
Mali,1.66819095611572
Ivory Coast,1.84496426582336
Cambodia,1.04294109344482
Sudan,1.6870658397674598
Ghana,1.57786750793457
Ukraine,0.8143823146820072
Uganda,1.526362657547
Burkina Faso,1.72721290588379
Niger,1.87398338317871
Malawi,2.08178615570068
Chad,2.07123804092407
Zimbabwe,1.59797024726868
Lesotho,1.42983531951904
Angola,1.6144824028015101
Afghanistan,2.15080118179321
Botswana,0.37791371345520003
Benin,1.88563096523285
Madagascar,1.58461260795593
Haiti,1.69716763496399
Yemen,1.3456006050109899
South Sudan,1.8795673847198502
Liberia,1.6732859611511202
Guinea,1.55231189727783
Togo,1.8372292518615703
Rwanda,0.540061235427856
Syria,1.06157350540161
Tanzania,0.621130466461182
Burundi,1.68302416801453
Central African Republic,2.06600475311279
