Country,Family
Finland,1.587
Denmark,1.5730000000000002
Norway,1.5819999999999999
Iceland,1.624
Netherlands,1.5219999999999998
Switzerland,1.526
Sweden,1.4869999999999999
New Zealand,1.557
Canada,1.505
Austria,1.475
Australia,1.548
Costa Rica,1.4409999999999998
Israel,1.455
Luxembourg,1.479
United Kingdom,1.538
Ireland,1.5530000000000002
Germany,1.454
Belgium,1.504
United States,1.4569999999999999
Czech Republic,1.4869999999999999
United Arab Emirates,1.31
Malta,1.52
Mexico,1.3230000000000002
France,1.472
Taiwan,1.43
Chile,1.369
Guatemala,1.2690000000000001
Saudi Arabia,1.357
Qatar,1.3130000000000002
Spain,1.484
Panama,1.442
Brazil,1.439
Uruguay,1.465
Singapore,1.463
El Salvador,1.242
Italy,1.4880000000000002
Bahrain,1.368
Slovakia,1.504
Trinidad & Tobago,1.4769999999999999
Poland,1.4380000000000002
Uzbekistan,1.5290000000000001
Lithuania,1.515
Colombia,1.41
Slovenia,1.5230000000000001
Nicaragua,1.325
Kosovo,1.232
Argentina,1.432
Romania,1.232
Cyprus,1.2229999999999999
Ecuador,1.3119999999999998
Kuwait,1.319
Thailand,1.409
Latvia,1.465
South Korea,1.219
Estonia,1.528
Jamaica,1.4780000000000002
Mauritius,1.402
Japan,1.419
Honduras,1.236
Kazakhstan,1.508
Bolivia,1.209
Hungary,1.41
Paraguay,1.475
Northern Cyprus,1.252
Peru,1.274
Portugal,1.431
Pakistan,0.8859999999999999
Russia,1.452
Philippines,1.2930000000000001
Serbia,1.383
Moldova,1.328
Libya,1.3030000000000002
Montenegro,1.361
Tajikistan,1.0979999999999999
Croatia,1.266
Hong Kong,1.2770000000000001
Dominican Republic,1.401
Bosnia and Herzegovina,1.212
Turkey,1.36
Malaysia,1.171
Belarus,1.465
Greece,1.156
Mongolia,1.531
North Macedonia,1.294
Nigeria,1.111
Kyrgyzstan,1.4380000000000002
Turkmenistan,1.538
Algeria,1.16
Morocco,0.782
Azerbaijan,1.147
Lebanon,1.224
Indonesia,1.203
China,1.125
Vietnam,1.3459999999999999
Bhutan,1.321
Cameroon,0.91
Bulgaria,1.5130000000000001
Ghana,0.868
Ivory Coast,0.8079999999999999
Nepal,1.226
Jordan,1.225
Benin,0.43700000000000006
Congo (Brazzaville),0.799
Gabon,1.183
Laos,1.03
South Africa,1.351
Albania,0.848
Venezuela,1.4269999999999998
Cambodia,1.122
Palestinian Territories,1.247
Senegal,1.1340000000000001
Somalia,0.698
Namibia,1.3130000000000002
Niger,0.774
Burkina Faso,1.056
Armenia,1.055
Iran,0.8420000000000001
Guinea,0.8290000000000001
Georgia,0.6659999999999999
Gambia,0.9390000000000001
Kenya,0.983
Mauritania,1.167
Mozambique,0.986
Tunisia,1.0
Bangladesh,0.9279999999999999
Iraq,0.98
Congo (Kinshasa),1.125
Mali,1.105
Sierra Leone,0.841
Sri Lanka,1.265
Myanmar,1.181
Chad,0.7659999999999999
Ukraine,1.39
Ethiopia,1.033
Swaziland,1.149
Uganda,1.069
Egypt,1.0390000000000001
Zambia,1.058
Togo,0.5720000000000001
India,0.765
Liberia,0.922
Comoros,0.757
Madagascar,0.9159999999999999
Lesotho,1.169
Burundi,0.447
Zimbabwe,1.114
Haiti,0.688
Botswana,1.145
Syria,0.37799999999999995
Malawi,0.56
Yemen,1.163
Rwanda,0.711
Tanzania,0.885
Afghanistan,0.517
Central African Republic,0.0
South Sudan,0.575
