Country,Health
Switzerland,0.9414299999999999
Iceland,0.94784
Denmark,0.87464
Norway,0.88521
Canada,0.9056299999999999
Finland,0.8891100000000001
Netherlands,0.89284
Sweden,0.9108700000000001
New Zealand,0.9083700000000001
Australia,0.93156
Israel,0.9138700000000001
Costa Rica,0.8602700000000001
Austria,0.8904200000000001
Mexico,0.8144399999999999
United States,0.86179
Brazil,0.69702
Luxembourg,0.91894
Ireland,0.89533
Belgium,0.8966700000000001
United Arab Emirates,0.80925
United Kingdom,0.90943
Oman,0.76276
Venezuela,0.7205199999999999
Singapore,1.02525
Panama,0.79661
Germany,0.89186
Chile,0.85857
Qatar,0.79733
France,0.9457899999999999
Argentina,0.78723
Czech Republic,0.84483
Uruguay,0.8116
Colombia,0.69077
Thailand,0.7385
Saudi Arabia,0.72025
Spain,0.95562
Malta,0.88721
Taiwan,0.8753
Kuwait,0.72492
Suriname,0.6082
Trinidad and Tobago,0.61483
El Salvador,0.67737
Guatemala,0.64425
Uzbekistan,0.59772
Slovakia,0.7890199999999999
Japan,0.99111
South Korea,0.9653799999999999
Ecuador,0.79075
Bahrain,0.74716
Italy,0.9544600000000001
Bolivia,0.5392
Moldova,0.61826
Paraguay,0.66098
Kazakhstan,0.64368
Slovenia,0.8733700000000001
Lithuania,0.73128
Nicaragua,0.7431399999999999
Peru,0.73017
Belarus,0.7360800000000001
Poland,0.77903
Malaysia,0.7239399999999999
Croatia,0.78805
Libya,0.7038
Russia,0.6692600000000001
Jamaica,0.6874100000000001
North Cyprus,0.92356
Cyprus,0.92356
Algeria,0.61766
Kosovo,0.63132
Turkmenistan,0.53886
Mauritius,0.7095
Hong Kong,1.01328
Estonia,0.77361
Indonesia,0.63793
Vietnam,0.7467600000000001
Turkey,0.73172
Kyrgyzstan,0.65088
Nigeria,0.16007000000000002
Bhutan,0.57407
Azerbaijan,0.64045
Pakistan,0.51466
Jordan,0.69639
Montenegro,0.72521
China,0.81658
Zambia,0.29924
Romania,0.7689
Serbia,0.74836
Portugal,0.8751899999999999
Latvia,0.72437
Philippines,0.58114
Somaliland region,0.43873
Morocco,0.60954
Macedonia,0.73545
Mozambique,0.09131
Albania,0.81325
Bosnia and Herzegovina,0.79081
Lesotho,0.07612000000000001
Dominican Republic,0.66825
Laos,0.54909
Mongolia,0.60268
Swaziland,0.07566
Greece,0.88213
Lebanon,0.83947
Hungary,0.75905
Honduras,0.6951
Tajikistan,0.5737899999999999
Tunisia,0.73793
Palestinian Territories,0.66015
Bangladesh,0.60164
Iran,0.69805
Ukraine,0.6739
Iraq,0.60237
South Africa,0.27688
Ghana,0.40131999999999995
Zimbabwe,0.33475
Liberia,0.34201
India,0.5152899999999999
Sudan,0.36878
Haiti,0.38847
Congo (Kinshasa),0.09806000000000001
Nepal,0.5687399999999999
Ethiopia,0.44055
Sierra Leone,0.0
Mauritania,0.35874
Kenya,0.41435
Djibouti,0.36291
Armenia,0.7299
Botswana,0.047760000000000004
Myanmar,0.48246000000000006
Georgia,0.72926
Malawi,0.22562
Sri Lanka,0.70806
Cameroon,0.23401999999999998
Bulgaria,0.76649
Egypt,0.61712
Yemen,0.40064
Angola,0.16683
Mali,0.20583
Congo (Brazzaville),0.31051
Comoros,0.36315
Uganda,0.33860999999999997
Senegal,0.4354
Gabon,0.43372
Niger,0.29707
Cambodia,0.61114
Tanzania,0.38215
Madagascar,0.46721
Central African Republic,0.06699
Chad,0.1501
Guinea,0.24009
Ivory Coast,0.15185
Burkina Faso,0.27125
Afghanistan,0.30335
Rwanda,0.42863999999999997
Benin,0.3191
Syria,0.7219300000000001
Burundi,0.22396
Togo,0.28443
