Country,Health
Norway,0.796666502952576
Denmark,0.7925655245780941
Iceland,0.8335521221160892
Switzerland,0.858131289482117
Finland,0.80915766954422
Netherlands,0.8106961250305179
Canada,0.83455765247345
New Zealand,0.816759705543518
Sweden,0.830875158309937
Australia,0.84388679265976
Israel,0.83840399980545
Costa Rica,0.7595092654228209
Austria,0.8153284192085269
United States,0.7742866277694699
Ireland,0.8097826242446899
Germany,0.798950731754303
Belgium,0.8180918693542479
Luxembourg,0.845089495182037
United Kingdom,0.805335938930511
Chile,0.8194797039031979
United Arab Emirates,0.726798236370087
Brazil,0.6165523529052729
Czech Republic,0.754444003105164
Argentina,0.695137083530426
Mexico,0.709978997707367
Singapore,0.9494923949241642
Malta,0.821944236755371
Uruguay,0.719216823577881
Guatemala,0.540239989757538
Panama,0.706156134605408
France,0.8444658517837521
Thailand,0.647239029407501
Taiwan Province of China,0.793984234333038
Spain,0.888960599899292
Qatar,0.7100980877876278
Colombia,0.595027923583984
Saudi Arabia,0.590148329734802
Trinidad and Tobago,0.5199832916259771
Kuwait,0.6321057081222529
Slovakia,0.712732911109924
Bahrain,0.653133034706116
Malaysia,0.618784427642822
Nicaragua,0.6530959606170649
Ecuador,0.685636222362518
El Salvador,0.596018552780151
Poland,0.699475347995758
Uzbekistan,0.498272627592087
Italy,0.8531443476676941
Russia,0.547349333763123
Belize,0.45019176602363603
Japan,0.9134758710861209
Lithuania,0.62894994020462
Algeria,0.6175846457481379
Latvia,0.638566970825195
South Korea,0.900214076042175
Moldova,0.5894652009010309
Romania,0.6851583123207089
Bolivia,0.47363024950027505
Turkmenistan,0.437726080417633
Kazakhstan,0.6060415506362921
North Cyprus,0.834647238254547
Slovenia,0.7908282279968258
Peru,0.6301661133766171
Mauritius,0.6380074620246889
Cyprus,0.84471470117569
Estonia,0.695168316364288
Belarus,0.6377142667770389
Libya,0.520169019699097
Turkey,0.6376056075096129
Paraguay,0.579250693321228
"Hong Kong S.A.R., China",0.943062424659729
Philippines,0.46800905466079706
Serbia,0.65078467130661
Jordan,0.6045900583267211
Hungary,0.6877634525299069
Jamaica,0.6410223841667181
Croatia,0.701288521289825
Kosovo,0.541452050209045
China,0.741415500640869
Pakistan,0.40204778313636796
Indonesia,0.49234572052955605
Venezuela,0.617144227027893
Montenegro,0.6674646735191351
Morocco,0.59771066904068
Azerbaijan,0.5407757759094239
Dominican Republic,0.574873745441437
Greece,0.8101989030838009
Lebanon,0.7350810766220089
Portugal,0.795843541622162
Bosnia and Herzegovina,0.705186307430267
Honduras,0.582569479942322
Macedonia,0.644948184490204
Somalia,0.11398913711309401
Vietnam,0.6521689891815191
Nigeria,0.0569157302379608
Tajikistan,0.5292351245880129
Bhutan,0.495879292488098
Kyrgyzstan,0.553457796573639
Nepal,0.504130780696869
Mongolia,0.557783484458923
South Africa,0.18708007037639604
Tunisia,0.613212049007416
Palestinian Territories,0.565666973590851
Egypt,0.520187258720398
Bulgaria,0.708217680454254
Sierra Leone,0.005564753897488121
Cameroon,0.132892116904259
Iran,0.639333188533783
Albania,0.731159746646881
Bangladesh,0.533241033554077
Namibia,0.33861181139946
Kenya,0.30998834967613204
Mozambique,0.10665443539619399
Myanmar,0.397522568702698
Senegal,0.409362852573395
Zambia,0.25783589482307395
Iraq,0.501180469989777
Gabon,0.35657858848571794
Ethiopia,0.35340970754623396
Sri Lanka,0.625130832195282
Armenia,0.637524425983429
India,0.455427616834641
Mauritania,0.285349279642105
Congo (Brazzaville),0.28995743393898
Georgia,0.649546980857849
Congo (Kinshasa),0.191407024860382
Mali,0.16936567425727803
Ivory Coast,0.0486421696841717
Cambodia,0.429783403873444
Sudan,0.290920823812485
Ghana,0.29563772678375205
Ukraine,0.575903952121735
Uganda,0.21763260662555703
Burkina Faso,0.21584425866603896
Niger,0.26850500702858
Malawi,0.315089583396912
Chad,0.0411347150802612
Zimbabwe,0.19676375389099102
Lesotho,0.0
Angola,0.0498686656355858
Afghanistan,0.18074677884578697
Botswana,0.34175550937652605
Benin,0.20993021130561804
Madagascar,0.375223308801651
Haiti,0.277321130037308
Yemen,0.310080915689468
South Sudan,0.163486003875732
Liberia,0.229918196797371
Guinea,0.194129139184952
Togo,0.247105568647385
Rwanda,0.326424807310104
Syria,0.5005333423614501
Tanzania,0.364509284496307
Burundi,0.151610791683197
Central African Republic,0.0187726859003305
