Country,Happiness_Rank,Happiness_Score,Economy,Family,Health,Freedom,Trust,Generosity,Dystopia_Residual
Finland,1,7.632000000000001,1.305,1.5919999999999999,0.8740000000000001,0.6809999999999999,0.39299999999999996,0.20199999999999999,2.585000000000001
Norway,2,7.593999999999999,1.456,1.5819999999999999,0.861,0.6859999999999999,0.34,0.28600000000000003,2.382999999999999
Denmark,3,7.555,1.351,1.59,0.868,0.6829999999999999,0.408,0.284,2.3709999999999996
Iceland,4,7.495,1.3430000000000002,1.6440000000000001,0.914,0.677,0.138,0.353,2.426
Switzerland,5,7.487,1.42,1.5490000000000002,0.927,0.66,0.35700000000000004,0.256,2.3179999999999996
Netherlands,6,7.441,1.361,1.4880000000000002,0.878,0.638,0.295,0.33299999999999996,2.4479999999999995
Canada,7,7.327999999999999,1.33,1.5319999999999998,0.8959999999999999,0.653,0.29100000000000004,0.321,2.3049999999999997
New Zealand,8,7.324,1.268,1.601,0.8759999999999999,0.669,0.389,0.365,2.1559999999999997
Sweden,9,7.314,1.355,1.501,0.9129999999999999,0.659,0.38299999999999995,0.285,2.218
Australia,10,7.272,1.34,1.5730000000000002,0.91,0.647,0.302,0.361,2.1390000000000002
United Kingdom,11,7.19,1.244,1.433,0.888,0.46399999999999997,0.08199999999999999,0.262,2.817000000000001
Austria,12,7.138999999999999,1.341,1.504,0.8909999999999999,0.617,0.22399999999999998,0.242,2.3199999999999994
Costa Rica,13,7.072,1.01,1.459,0.8170000000000001,0.632,0.10099999999999999,0.14300000000000002,2.9099999999999993
Ireland,14,6.977,1.4480000000000002,1.5830000000000002,0.8759999999999999,0.614,0.306,0.307,1.842999999999999
Germany,15,6.965,1.34,1.474,0.861,0.586,0.28,0.273,2.151
Belgium,16,6.9270000000000005,1.324,1.483,0.894,0.583,0.24,0.188,2.215
Luxembourg,17,6.91,1.5759999999999998,1.52,0.8959999999999999,0.632,0.321,0.196,1.769000000000001
United States,18,6.886,1.3980000000000001,1.4709999999999999,0.8190000000000001,0.547,0.133,0.29100000000000004,2.2270000000000003
Israel,19,6.814,1.301,1.5590000000000002,0.883,0.5329999999999999,0.272,0.354,1.912
United Arab Emirates,20,6.774,2.096,0.7759999999999999,0.67,0.284,,0.18600000000000003,
Czech Republic,21,6.711,1.2329999999999999,1.489,0.8540000000000001,0.5429999999999999,0.034,0.064,2.4940000000000007
Malta,22,6.627000000000001,1.27,1.525,0.884,0.645,0.142,0.376,1.7850000000000001
France,23,6.489,1.2930000000000001,1.466,0.9079999999999999,0.52,0.17600000000000002,0.098,2.0279999999999996
Mexico,24,6.4879999999999995,1.038,1.252,0.7609999999999999,0.479,0.095,0.069,2.793999999999999
Chile,25,6.476,1.131,1.331,0.8079999999999999,0.431,0.061,0.19699999999999998,2.5170000000000003
Taiwan,26,6.441,1.365,1.436,0.857,0.418,0.078,0.151,2.1359999999999992
