Country,Happiness_Rank,Happiness_Score,Economy,Family,Health,Freedom,Trust,Generosity,Dystopia_Residual
Finland,1,7.769,1.34,1.587,0.986,0.596,0.39299999999999996,0.153,2.7140000000000004
Denmark,2,7.6,1.383,1.5730000000000002,0.996,0.5920000000000001,0.41,0.252,2.3939999999999992
Norway,3,7.553999999999999,1.4880000000000002,1.5819999999999999,1.028,0.603,0.341,0.271,2.2409999999999988
Iceland,4,7.494,1.38,1.624,1.026,0.591,0.11800000000000001,0.354,2.400999999999999
Netherlands,5,7.4879999999999995,1.396,1.5219999999999998,0.9990000000000001,0.557,0.298,0.322,2.3939999999999992
Switzerland,6,7.48,1.452,1.526,1.052,0.5720000000000001,0.34299999999999997,0.263,2.272000000000001
Sweden,7,7.343,1.3869999999999998,1.4869999999999999,1.0090000000000001,0.574,0.373,0.267,2.2459999999999996
New Zealand,8,7.307,1.3030000000000002,1.557,1.026,0.585,0.38,0.33,2.1260000000000003
Canada,9,7.278,1.365,1.505,1.0390000000000001,0.584,0.308,0.285,2.1919999999999993
Austria,10,7.246,1.376,1.475,1.016,0.532,0.226,0.244,2.3770000000000007
Australia,11,7.228,1.3719999999999999,1.548,1.036,0.557,0.29,0.332,2.093
Costa Rica,12,7.167000000000001,1.034,1.4409999999999998,0.963,0.5579999999999999,0.09300000000000001,0.14400000000000002,2.934000000000001
Israel,13,7.138999999999999,1.276,1.455,1.0290000000000001,0.371,0.08199999999999999,0.261,2.664999999999999
Luxembourg,14,7.09,1.609,1.479,1.012,0.526,0.316,0.19399999999999998,1.9540000000000006
United Kingdom,15,7.053999999999999,1.3330000000000002,1.538,0.996,0.45,0.278,0.348,2.110999999999999
Ireland,16,7.021,1.499,1.5530000000000002,0.9990000000000001,0.516,0.31,0.298,1.846
Germany,17,6.985,1.3730000000000002,1.454,0.987,0.495,0.265,0.261,2.1500000000000004
Belgium,18,6.922999999999999,1.3559999999999999,1.504,0.986,0.473,0.21,0.16,2.233999999999999
United States,19,6.892,1.433,1.4569999999999999,0.8740000000000001,0.45399999999999996,0.128,0.28,2.266
Czech Republic,20,6.852,1.2690000000000001,1.4869999999999999,0.92,0.457,0.036000000000000004,0.046,2.6370000000000005
United Arab Emirates,21,6.825,1.5030000000000001,1.31,0.825,0.598,0.182,0.262,2.1450000000000005
Malta,22,6.726,1.3,1.52,0.9990000000000001,0.564,0.151,0.375,1.8170000000000002
Mexico,23,6.595,1.07,1.3230000000000002,0.861,0.433,0.073,0.07400000000000001,2.7609999999999997
France,24,6.5920000000000005,1.324,1.472,1.045,0.436,0.183,0.111,2.021000000000001
Taiwan,25,6.446000000000001,1.368,1.43,0.914,0.35100000000000003,0.09699999999999999,0.242,2.0439999999999996
Chile,26,6.444,1.159,1.369,0.92,0.35700000000000004,0.055999999999999994,0.187,2.396
Guatemala,27,6.436,0.8,1.2690000000000001,0.746,0.535,0.078,0.175,2.833
Saudi Arabia,28,6.375,1.403,1.357,0.795,0.439,0.132,0.08,2.1690000000000005
Qatar,29,6.374,1.6840000000000002,1.3130000000000002,0.871,0.555,0.16699999999999998,0.22,1.564
Spain,30,6.354,1.286,1.484,1.062,0.36200000000000004,0.079,0.153,1.9280000000000008
Panama,31,6.321000000000001,1.149,1.442,0.91,0.516,0.054000000000000006,0.109,2.141
Brazil,32,6.3,1.004,1.439,0.802,0.39,0.086,0.099,2.4799999999999995
Uruguay,33,6.292999999999999,1.124,1.465,0.8909999999999999,0.523,0.15,0.127,2.012999999999999
Singapore,34,6.2620000000000005,1.5719999999999998,1.463,1.141,0.556,0.45299999999999996,0.271,0.806
El Salvador,35,6.252999999999999,0.794,1.242,0.789,0.43,0.07400000000000001,0.09300000000000001,2.830999999999999
Italy,36,6.223,1.294,1.4880000000000002,1.0390000000000001,0.231,0.03,0.158,1.9829999999999988
Bahrain,37,6.199,1.3619999999999999,1.368,0.871,0.536,0.11,0.255,1.6969999999999992
Slovakia,38,6.1979999999999995,1.246,1.504,0.8809999999999999,0.33399999999999996,0.013999999999999999,0.121,2.098
Trinidad & Tobago,39,6.192,1.2309999999999999,1.4769999999999999,0.713,0.489,0.016,0.185,2.0810000000000004
Poland,40,6.182,1.206,1.4380000000000002,0.884,0.483,0.05,0.11699999999999999,2.0040000000000004
Uzbekistan,41,6.1739999999999995,0.745,1.5290000000000001,0.7559999999999999,0.631,0.24,0.322,1.9509999999999996
Lithuania,42,6.149,1.238,1.515,0.818,0.29100000000000004,0.042,0.043,2.202
Colombia,43,6.125,0.985,1.41,0.841,0.47,0.034,0.099,2.2860000000000005
Slovenia,44,6.117999999999999,1.258,1.5230000000000001,0.953,0.564,0.057,0.14400000000000002,1.6189999999999989
Nicaragua,45,6.105,0.6940000000000001,1.325,0.835,0.435,0.127,0.2,2.489
Kosovo,46,6.1,0.882,1.232,0.758,0.489,0.006,0.262,2.471
Argentina,47,6.086,1.092,1.432,0.8809999999999999,0.47100000000000003,0.05,0.066,2.0940000000000007
Romania,48,6.07,1.162,1.232,0.825,0.462,0.005,0.083,2.3009999999999997
Cyprus,49,6.046,1.263,1.2229999999999999,1.042,0.406,0.040999999999999995,0.19,1.8810000000000002
Ecuador,50,6.028,0.912,1.3119999999999998,0.868,0.498,0.087,0.126,2.2249999999999996
Kuwait,51,6.021,1.5,1.319,0.8079999999999999,0.493,0.09699999999999999,0.142,1.661999999999999
Thailand,52,6.007999999999999,1.05,1.409,0.828,0.557,0.027999999999999997,0.359,1.7769999999999992
Latvia,53,5.94,1.187,1.465,0.812,0.264,0.064,0.075,2.0729999999999995
South Korea,54,5.895,1.301,1.219,1.036,0.159,0.055999999999999994,0.175,1.9489999999999998
Estonia,55,5.893,1.237,1.528,0.8740000000000001,0.495,0.161,0.10300000000000001,1.495
Jamaica,56,5.89,0.831,1.4780000000000002,0.831,0.49,0.027999999999999997,0.107,2.1249999999999996
Mauritius,57,5.888,1.12,1.402,0.7979999999999999,0.498,0.06,0.215,1.794999999999999
Japan,58,5.886,1.327,1.419,1.088,0.445,0.14,0.069,1.3980000000000006
Honduras,59,5.86,0.642,1.236,0.828,0.507,0.078,0.24600000000000002,2.3230000000000004
